@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute Hand_Number numeric
@attribute ThumbExtension_x numeric
@attribute ThumbExtension_y numeric
@attribute ThumbExtension_z numeric
@attribute IndexExtension_x numeric
@attribute IndexExtension_y numeric
@attribute IndexExtension_z numeric
@attribute MiddleExtension_x numeric
@attribute MiddleExtension_y numeric
@attribute MiddleExtension_z numeric
@attribute RingExtension_x numeric
@attribute RingExtension_y numeric
@attribute RingExtension_z numeric
@attribute PinkyExtension_x numeric
@attribute PinkyExtension_y numeric
@attribute PinkyExtension_z numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric

@data
1,'2021/08/06 11:06:37:006',1,0,-76.113968,-22.074921,-49.516781,-84.301674,13.609756,70.396896,-70.111969,22.051132,94.650162,-44.524086,23.797989,101.109337,-0.519325,36.785355,93.636856,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
2,'2021/08/06 11:06:37:022',1,0,-76.230736,-22.583054,-48.982094,-84.104301,13.481827,70.690605,-69.791237,22.051682,94.888817,-44.212543,23.77771,101.253723,-0.153183,36.661636,93.708145,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
3,'2021/08/06 11:06:37:040',1,0,-76.305984,-23.872467,-47.65271,-84.016151,12.557739,71.139511,-69.15844,21.261505,95.461426,-43.322842,22.614746,101.946304,0.574448,36.258591,93.973114,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
4,'2021/08/06 11:06:37:056',1,0,-76.59417,-24.717087,-47.378124,-83.948181,12.119766,71.475601,-68.671204,21.077667,95.873322,-42.700233,22.539459,102.259262,1.536522,36.207474,94.180786,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
5,'2021/08/06 11:06:37:074',1,0,-76.963234,-24.628143,-47.91032,-83.97036,10.934601,71.729019,-68.344368,19.834732,96.305183,-42.256592,21.178146,102.688087,2.541176,34.695938,94.89138,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
6,'2021/08/06 11:06:37:093',1,0,-77.321831,-24.701874,-48.215645,-84.153419,10.882141,71.671745,-68.117409,19.697525,96.524139,-42.045967,21.276901,102.756294,3.399834,34.678833,95.084366,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
7,'2021/08/06 11:06:37:110',1,0,-77.719933,-24.761749,-48.212406,-84.185349,10.897034,71.681244,-67.800781,19.761978,96.683823,-41.725479,21.593216,102.761162,4.189827,34.930573,95.073143,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
8,'2021/08/06 11:06:37:127',1,0,-78.114075,-24.852951,-48.308002,-84.291016,10.880249,71.677261,-67.617058,19.865234,96.813553,-41.508175,21.939377,102.787582,4.755959,35.358246,95.018745,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
9,'2021/08/06 11:06:37:147',1,0,-78.556259,-24.843018,-48.207409,-84.334213,10.727142,71.668053,-67.487724,19.937607,96.838791,-41.324043,22.202225,102.760483,5.196739,35.697601,94.921486,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
10,'2021/08/06 11:06:37:161',1,0,-79.004478,-24.877151,-48.083599,-84.431526,10.751846,71.616135,-67.485062,20.198914,96.802277,-41.190292,22.325943,102.816345,5.486488,36.060165,94.845581,0.767259,0.728459,0.225926,0.262628,0.992614,0.668247,0.524757,0.746177,0.265025,0.394641,0.336427,0.841057,0.844169
